序号,汉字,"通用规范汉字表等级",数量,ASR等级
1027,枪,1,143192,1
1028,枫,1,9255,1
1029,构,1,318226,1
1030,杭,1,46311,1
1031,杰,1,96294,1
1032,述,1,300832,1
1033,枕,1,27093,1
1034,丧,1,52623,1
1035,或,1,2074156,1
1036,画,1,558018,1
1037,卧,1,85583,1
1038,事,1,3055483,1
1039,刺,1,211517,1
1040,枣,1,28772,1
1041,雨,1,155524,1
1042,卖,1,413100,1
1043,郁,1,134243,1
1044,矾,1,2919,1
1045,矿,1,64683,1
1046,码,1,424088,1
1047,厕,1,47953,1
1048,奈,1,72060,1
1049,奔,1,71682,1
1050,奇,1,480549,1
1051,奋,1,106179,1
1052,态,1,604551,1
1053,欧,1,237284,1
1054,殴,1,11254,1
1055,垄,1,13738,1
1056,妻,1,142578,1
1057,轰,1,32591,1
1058,顷,1,3452,1
1059,转,1,739598,1
1060,斩,1,25212,1
1061,轮,1,183668,1
1062,软,1,497569,1
1063,到,1,6695733,1
1064,非,1,1148189,1
1065,叔,1,100624,1
1066,歧,1,75380,1
1067,肯,1,302666,1
1068,齿,1,79093,1
1069,些,1,3519189,1
1070,卓,1,49664,1
1071,虎,1,103430,1
1072,虏,1,5287,1
1073,肾,1,97870,1
1074,贤,1,40650,1
1075,尚,1,157759,1
1076,旺,1,39459,1
1077,具,1,728129,1
1078,味,1,434280,1
1079,果,1,2869464,1
1080,昆,1,35116,1
1081,国,1,4469832,1
1082,哎,1,52674,1
1083,咕,1,9985,1
1084,昌,1,32103,1
1085,呵,1,229812,1
1086,畅,1,63889,1
1087,明,1,1830106,1
1088,易,1,830510,1
1089,咙,1,8119,1
1090,昂,1,34868,1
1091,迪,1,103052,1
1092,典,1,239640,1
1093,固,1,178703,1
1094,忠,1,65960,1
1095,呻,1,4485,1
1096,咒,1,30805,1
1097,咋,1,41675,1
1098,咐,1,4566,1
1099,呼,1,169862,1
1100,鸣,1,52740,1
1101,咏,1,7508,1
1102,呢,1,1134159,1
1103,咄,1,2546,1
1104,咖,1,88006,1
1105,岸,1,47253,1
1106,岩,1,33843,1
1107,帖,1,79825,1
1108,罗,1,319351,1
1109,帜,1,5807,1
1110,帕,1,31627,1
1111,岭,1,20750,1
1112,凯,1,55682,1
1113,败,1,212782,1
1114,账,1,139731,1
1115,贩,1,23444,1
1116,贬,1,32632,1
1117,购,1,339804,1
1118,贮,1,6174,1
1119,图,1,928433,1
1120,钓,1,36710,1
1121,制,1,1145172,1
1122,知,1,2728566,1
1123,迭,1,7449,1
1124,氛,1,50403,1
1125,垂,1,45704,1
1126,牧,1,34873,1
1127,物,1,1714744,1
1128,乖,1,37838,1
1129,刮,1,29407,1
1130,秆,1,1119,2
1131,和,1,5749903,1
1132,季,1,209309,1
1133,委,1,152547,1
1134,秉,1,7700,1
1135,佳,1,143770,1
1136,侍,1,10385,1
1137,岳,1,30339,1
1138,供,1,339054,1
1139,使,1,1128420,1
1140,例,1,493841,1
1141,侠,1,96988,1
1142,侥,1,5886,1
1143,版,1,469453,1
1144,侄,1,9618,1
1145,侦,1,26644,1
1146,侣,1,50841,1
1147,侧,1,129783,1
1148,凭,1,109598,1
1149,侨,1,7329,1
1150,佩,1,54572,1
1151,货,1,319125,1
1152,侈,1,22167,1
1153,依,1,327687,1
1154,卑,1,64129,1
1155,的,1,53897871,1
1156,迫,1,108165,1
1157,质,1,959920,1
1158,欣,1,71488,1
1159,征,1,164873,1
1160,往,1,573026,1
1161,爬,1,61905,1
